date, value
4/4/16,37.69
4/5/16,37.87
4/6/16,39.84
4/7/16,39.43
4/8/16,41.94
4/11/16,42.83
4/12/16,44.69
4/13/16,44.18
4/14/16,43.84
4/15/16,43.1
4/18/16,42.91
4/19/16,44.03
4/20/16,45.8
4/21/16,44.53
4/22/16,45.11
4/25/16,44.48
4/26/16,45.74
4/27/16,47.18
4/28/16,48.14
4/29/16,48.13
5/2/16,45.83
5/3/16,44.97
5/4/16,44.62
5/5/16,45.01
5/6/16,45.37
5/9/16,43.63
5/10/16,45.52
5/11/16,47.6
5/12/16,48.08
5/13/16,47.83
5/16/16,48.97
5/17/16,49.28
5/18/16,48.93
5/19/16,48.81
5/20/16,48.72
5/23/16,48.35
5/24/16,48.61
5/25/16,49.74
5/26/16,49.59
5/27/16,49.32
5/30/16,49.76
5/31/16,49.69
6/1/16,49.72
6/2/16,50.04
6/3/16,49.64
6/6/16,50.55
6/7/16,51.44
6/8/16,52.51
6/9/16,51.95
6/10/16,50.54
6/13/16,50.35
6/14/16,49.83
6/15/16,48.97
6/16/16,47.19
6/17/16,49.17
6/20/16,50.65
6/21/16,50.62
6/22/16,49.88
6/23/16,50.91
6/24/16,48.41
6/27/16,47.16
6/28/16,48.58
6/29/16,50.61
6/30/16,49.68
7/1/16,50.35
7/4/16,50.1
7/5/16,47.96
7/6/16,48.8
7/7/16,46.4
7/8/16,46.76
7/11/16,46.25
7/12/16,48.47
7/13/16,46.26
7/14/16,47.37
7/15/16,47.61
7/18/16,46.96
7/19/16,46.66
7/20/16,47.17
7/21/16,46.2
7/22/16,45.69
7/25/16,44.72
7/26/16,44.87
7/27/16,43.47
7/28/16,42.7
7/29/16,42.46
8/1/16,42.14
8/2/16,41.8
8/3/16,43.1
8/4/16,44.29
8/5/16,44.27
8/8/16,45.39
8/9/16,44.98
8/10/16,44.05
8/11/16,46.04
8/12/16,46.97
8/15/16,48.35
8/16/16,49.23
8/17/16,49.85
8/18/16,50.89
8/19/16,50.88
8/22/16,49.16
8/23/16,49.96
8/24/16,49.05
8/25/16,49.67
8/26/16,49.92
8/29/16,49.26
8/30/16,48.37
8/31/16,47.04
9/1/16,45.45
9/2/16,46.83
9/5/16,47.63
9/6/16,47.26
9/7/16,47.98
9/8/16,49.99
9/9/16,48.01
9/12/16,48.32
9/13/16,47.1
9/14/16,45.85
9/15/16,46.59
9/16/16,45.77
9/19/16,45.95
9/20/16,45.88
9/21/16,46.83
