Date,Open,High,Low,Close,Adj Close,Volume
1/2/15,4760.240234,4777.009766,4698.109863,4726.810059,4726.810059,1435150000
1/5/15,4700.339844,4702.77002,4641.459961,4652.569824,4652.569824,1794470000
1/6/15,4666.850098,4667.330078,4567.589844,4592.740234,4592.740234,2167320000
1/7/15,4626.839844,4652.720215,4613.899902,4650.470215,4650.470215,1957950000
1/8/15,4689.540039,4741.379883,4688.02002,4736.189941,4736.189941,2105450000
1/9/15,4744.470215,4744.709961,4681.240234,4704.069824,4704.069824,1715830000
1/12/15,4714.069824,4715.810059,4650.649902,4664.709961,4664.709961,1861960000
1/13/15,4708.740234,4751.339844,4624.279785,4661.5,4661.5,2162180000
1/14/15,4610.759766,4655.370117,4595.97998,4639.319824,4639.319824,2073810000
1/15/15,4657.459961,4663.959961,4567.390137,4570.819824,4570.819824,1976260000
1/16/15,4566.379883,4635.819824,4563.109863,4634.379883,4634.379883,1970520000
1/20/15,4655.839844,4665.649902,4601.100098,4654.850098,4654.850098,1835040000
1/21/15,4641.950195,4692.459961,4629.589844,4667.419922,4667.419922,1847420000
1/22/15,4690.930176,4752.600098,4644.569824,4750.399902,4750.399902,1996550000
1/23/15,4748.189941,4771.180176,4737.950195,4757.879883,4757.879883,1653830000
1/26/15,4752.359863,4774.180176,4734.200195,4771.759766,4771.759766,1717510000
1/27/15,4698.22998,4721.870117,4659.830078,4681.5,4681.5,1954160000
1/28/15,4740.689941,4742.060059,4637.47998,4637.990234,4637.990234,2118680000
1/29/15,4635.72998,4688.410156,4601.759766,4683.410156,4683.410156,2110710000
1/30/15,4671.209961,4703.810059,4631.100098,4635.240234,4635.240234,2264230000
2/2/15,4650.600098,4676.689941,4580.459961,4676.689941,4676.689941,2006450000
2/3/15,4693.25,4727.740234,4670.819824,4727.740234,4727.740234,2153520000
2/4/15,4699.810059,4744.330078,4697.790039,4716.700195,4716.700195,2212960000
2/5/15,4729.649902,4767.379883,4722.799805,4765.100098,4765.100098,2036590000
2/6/15,4768.839844,4787.180176,4731.220215,4744.399902,4744.399902,2034060000
2/9/15,4723.72998,4749.470215,4719.609863,4726.009766,4726.009766,1654680000
2/10/15,4754.629883,4793.27002,4737.120117,4787.640137,4787.640137,1773730000
2/11/15,4788.370117,4810.359863,4780.129883,4801.180176,4801.180176,1793630000
2/12/15,4828.080078,4857.609863,4823.569824,4857.609863,4857.609863,2075470000
2/13/15,4869.72998,4893.839844,4860.120117,4893.839844,4893.839844,1942240000
2/17/15,4889.990234,4901.890137,4880.640137,4899.27002,4899.27002,1751490000
2/18/15,4890.839844,4907.5,4885.600098,4906.359863,4906.359863,1684800000
2/19/15,4901.509766,4929.529785,4900.629883,4924.700195,4924.700195,1592890000
2/20/15,4919.779785,4957.02002,4905.589844,4955.970215,4955.970215,1761140000
2/23/15,4953.100098,4960.970215,4939.560059,4960.970215,4960.970215,1754850000
