Date,Open,High,Low,Close,Adj Close,Volume
1/2/15,17823.07031,17951.7793,17731.30078,17832.99023,17832.99023,76270000
1/5/15,17821.30078,17821.30078,17475.92969,17501.65039,17501.65039,116160000
1/6/15,17504.17969,17581.05078,17262.36914,17371.64063,17371.64063,101870000
1/7/15,17374.7793,17597.08008,17374.7793,17584.51953,17584.51953,91030000
1/8/15,17591.9707,17916.03906,17591.9707,17907.86914,17907.86914,114890000
1/9/15,17911.01953,17915.32031,17686.08984,17737.36914,17737.36914,93390000
1/12/15,17742.05078,17793.88086,17571.58008,17640.83984,17640.83984,92500000
1/13/15,17645.01953,17923.00977,17498.23047,17613.67969,17613.67969,99360000
1/14/15,17609.06055,17609.06055,17264.90039,17427.08984,17427.08984,109180000
1/15/15,17436.30078,17517.41016,17298.03906,17320.71094,17320.71094,94520000
1/16/15,17320,17528.36914,17243.55078,17511.57031,17511.57031,140480000
1/20/15,17516.96094,17588.69922,17346.73047,17515.23047,17515.23047,119600000
1/21/15,17509.96094,17599.58008,17396.03906,17554.2793,17554.2793,95530000
1/22/15,17557.28906,17840.89063,17482.53906,17813.98047,17813.98047,111980000
1/23/15,17812.5,17812.5,17667.5293,17672.59961,17672.59961,97110000
1/26/15,17668.10938,17696.35938,17567.59961,17678.69922,17678.69922,87220000
1/27/15,17638.5293,17638.5293,17288.31055,17387.21094,17387.21094,135940000
1/28/15,17402.91016,17484.41016,17189,17191.36914,17191.36914,115980000
1/29/15,17195.28906,17433.13086,17136.30078,17416.84961,17416.84961,111690000
1/30/15,17416.84961,17419.90039,17156.82031,17164.94922,17164.94922,168560000
2/2/15,17169.99023,17367.67969,17037.75977,17361.03906,17361.03906,108090000
2/3/15,17369.9707,17670.75977,17369.9707,17666.40039,17666.40039,112860000
2/4/15,17664.99023,17782.2207,17603.21094,17673.01953,17673.01953,102560000
2/5/15,17677.25977,17889.58008,17677.25977,17884.88086,17884.88086,79890000
2/6/15,17881.53906,17951.08984,17764.40039,17824.28906,17824.28906,93610000
2/9/15,17821.49023,17821.49023,17685.32031,17729.21094,17729.21094,81590000
2/10/15,17736.15039,17890.33984,17729.24023,17868.75977,17868.75977,89930000
2/11/15,17867.85938,17897.21094,17759.65039,17862.14063,17862.14063,89890000
2/12/15,17862.14063,17975.65039,17862.14063,17972.38086,17972.38086,117160000
2/13/15,17968.65039,18037.41016,17961.75977,18019.34961,18019.34961,85230000
2/17/15,18019.80078,18052.00977,17951.41016,18047.58008,18047.58008,98760000
2/18/15,18045.7207,18048.69922,17982.19922,18029.84961,18029.84961,75090000
